"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin georreferenciar,Total
1702,"Fabricación de papel y cartón ondulado (corrugado), fabricación de envases, empaques y de embalajes de papel y cartón",,1,2,,,,2,4,1,8,6,1,,,,,,,,2,,1,28
1709,Fabricación de otros artículos de papel y cartón,,4,4,1,1,,7,3,4,19,7,,,,1,1,3,1,1,,,0,57
1811,Actividades de impresión,,16,57,8,14,11,38,45,29,281,57,8,,2,17,6,4,9,,2,11,1,616
1812,Actividades de servicios relacionados con la impresión,1,4,8,,4,3,16,25,3,81,18,4,,,2,4,2,2,1,1,5,0,184
1820,Producción de copias a partir de grabaciones originales,1,,1,,,,1,,,,2,,,,,,,,,,,0,5
1910,Fabricación de productos de hornos de coque,,,,,,,,,,1,,,,,,,,,,,,0,1
1921,Fabricación de productos de la refinación del petróleo,,,,,1,,2,2,2,2,,,,,,,1,1,,,,0,11
1922,Actividad de mezcla de combustibles,,,,,,,,,,1,,,,,,,,,,,,0,1
2011,Fabricación de sustancias y productos químicos básicos,,1,5,,1,,10,6,5,4,2,1,,1,,2,,,,,1,1,40
2012,Fabricación de abonos y compuestos inorgánicos nitrogenados,,1,3,,,1,6,2,,1,5,,,,,1,,,1,1,1,0,23
2013,Fabricación de plásticos en formas primarias,,4,3,1,3,,3,9,2,5,1,3,,,3,1,,,2,,,0,40
2014,Fabricación de caucho sintético en formas primarias,,,,,,,,1,,2,1,,,,,,,,,1,,0,5
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,2,1,,1,,,1,1,1,1,2,,,1,1,,,1,,4,,0,17
2022,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",,3,4,2,3,1,8,4,2,9,7,,,,1,1,1,,1,,,0,47
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",4,7,30,10,6,7,24,27,9,23,24,6,,1,5,4,2,11,5,7,4,4,220
2029,Fabricación de otros productos químicos n.c.p.,,3,2,2,2,1,2,9,4,7,5,1,,1,1,4,1,1,,1,,0,47
2030,Fabricación de fibras sintéticas y artificiales,,3,,,,,2,1,,,,,,,,2,,,,,1,0,9
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",1,1,12,2,,3,28,9,6,19,11,,,,,2,2,1,,2,2,1,102
2212,Reencauche de llantas usadas,,,1,,,,,2,1,3,2,,,,,3,,,,,,0,12
2219,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,,3,,,1,,,9,,8,1,,,,2,,,1,1,1,,0,27
2221,Fabricación de formas básicas de plástico,1,18,4,,1,3,5,28,3,21,9,2,,,4,4,2,1,,,,0,106
2229,Fabricación de artículos de plástico n.c.p.,1,18,15,6,11,6,15,66,15,42,15,3,,,4,2,10,1,4,1,1,1,237
2310,Fabricación de vidrio y productos de vidrio,1,2,8,1,2,,2,7,,13,4,2,,,1,2,4,1,,,,1,51
2391,Fabricación de productos refractarios,,,,,,,1,1,,,,,,,,,,1,,,,0,3
2392,Fabricación de materiales de arcilla para la construcción,8,2,4,,,,3,1,,3,,,,,,,1,,,,,0,22
2393,Fabricación de otros productos de cerámica y porcelana,,,,1,,,,,1,2,1,1,,,1,,1,,,,1,0,9
2394,"Fabricación de cemento, cal y yeso",,,1,,,2,7,,,2,1,,,,,,,,,,,0,13
2395,"Fabricación de artículos de hormigón, cemento y yeso",2,3,4,,4,,5,3,2,7,4,,,,2,1,3,2,3,,2,1,48
2396,"Corte, tallado y acabado de la piedra",1,8,,1,,,1,2,,6,5,1,,,2,3,2,1,,,,0,33
2399,Fabricación de otros productos minerales no metálicos n.c.p.,1,2,,1,,,,3,,,,,,,1,,,1,,,1,0,10
2410,Industrias básicas de hierro y de acero,,1,3,1,1,1,1,10,1,19,3,1,,,5,,1,1,2,,1,0,52
2421,Industrias básicas de metales preciosos,,,3,,,,3,,,5,,,,,,,,,,1,,0,12
2429,Industrias básicas de otros metales no ferrosos,,,,,,1,2,1,,1,1,,,,1,,,,,,,0,7
2431,Fundición de hierro y de acero,1,1,1,1,2,,1,1,,1,,,,,,,3,,1,,1,0,14
2432,Fundición de metales no ferrosos,1,,1,1,,,1,2,,4,,1,,,1,,,,1,,,0,13
2511,Fabricación de productos metálicos para uso estructural,7,32,37,19,18,15,16,54,14,107,19,18,1,7,31,9,8,15,7,5,20,2,461
2512,"Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o el transporte de mercancías",,,1,,,1,,1,1,5,1,,,,,,,,1,,1,0,12
2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",,,1,1,,,,1,2,1,,,,,,,,,,,,0,6
2591,"Forja, prensado, estampado y laminado de metal, pulvimetalurgia",,2,1,2,1,1,1,6,2,12,1,1,,1,,,,2,,,,0,33
2592,"Tratamiento y revestimiento de metales, mecanizado",1,4,2,1,4,1,3,27,2,22,1,,,,1,2,1,,,1,,0,73
2593,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",,,2,,1,,,1,,5,1,,1,,,1,,,,,1,0,13
2599,Fabricación de otros productos elaborados de metal n.c.p.,4,21,20,3,18,5,16,91,5,60,18,1,,,7,3,1,7,,6,4,1,291
2610,Fabricación de componentes y tableros electrónicos,,1,3,,,,,6,1,3,3,,,,,,1,1,,,,0,19
2620,Fabricación de computadoras y de equipo periférico,,,,,,,,,,,,,,,,,,,,,1,0,1
2630,Fabricación de equipos de comunicación,,,1,1,,,,,,,,,,,,,,,,,,0,2
2640,Fabricación de aparatos electrónicos de consumo,,,,,,,1,,,,,,,,1,,,1,,,,0,3
2651,"Fabricación de equipo de medición, prueba, navegación y control",,1,1,1,,,1,2,1,6,,,,,,,,1,,,,0,14
2652,Fabricación de relojes,,1,,,,,1,,,,,,,,,,,,,,,0,2
2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico,,,4,,,1,2,1,,,2,1,,,1,,,,,,,0,12
2670,Fabricación de instrumentos ópticos y equipo fotográfico,,,3,,,1,,,,12,,,,,1,,1,,,,,0,18
2711,"Fabricación de motores, generadores y transformadores eléctricos",,,1,1,,,1,,,4,1,,,1,,,,,,,1,0,10
2712,Fabricación de aparatos de distribución y control de la energía eléctrica,,2,,,2,,2,4,3,,2,,,,,,,,,,,0,15
2720,"Fabricación de pilas, baterías y acumuladores eléctricos",,,,,,,,,,,,,,,,,,,,,1,0,1
2731,Fabricación de hilos y cables eléctricos y de fibra óptica,,,1,,,,,1,,,,,,,,,,,,,,0,2
2732,Fabricación de dispositivos de cableado,,,,,,,1,1,,1,1,,,,,,,,,,,0,4
2740,Fabricación de equipos eléctricos de iluminación,,,4,1,,1,7,6,1,4,1,,,,1,,,,,,,0,26
2750,Fabricación de aparatos de uso doméstico,1,2,6,,1,1,3,2,,9,,,,,,,,,,,1,0,26
2790,Fabricación de otros tipos de equipo eléctrico n.c.p.,1,2,2,,,1,4,4,1,6,4,1,,,2,,,,,,,0,28
2811,"Fabricación de motores, turbinas, y partes para motores de combustión interna",,,,,,2,,,,2,,,,,,,,,,,,0,4
2812,Fabricación de equipos de potencia hidráulica y neumática,,1,,1,1,,,4,,4,1,,,,1,,,,,,,0,13
2813,"Fabricación de otras bombas, compresores, grifos y válvulas",,,,,1,,1,,1,2,,,,,,,,,,,1,0,6
2814,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",,,,,2,,,2,,,,,,1,,,,,,,,0,5
2815,"Fabricación de hornos, hogares y quemadores industriales",,1,1,,,,1,4,2,5,1,,,,1,,,1,,,,0,17
2816,Fabricación de equipo de elevación y manipulación,,,3,,1,,,3,1,4,1,,,,,1,,1,,,,0,15
2817,Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico),,,,,,1,,1,,1,1,,,,,,,,,,,0,4
2818,Fabricación de herramientas manuales con motor,,,1,,,,,,,,,,,,,,,,,,,0,1
2819,Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,,1,2,1,6,2,5,16,,16,8,,,,2,1,,,,,2,0,62
2821,Fabricación de maquinaria agropecuaria y forestal,,,1,,,,1,,1,1,1,,,,,1,,,,1,,0,7
2822,Fabricación de máquinas formadoras de metal y de máquinas herramienta,,,,,1,,1,3,,,,,,,,,1,,,,,0,6
2823,Fabricación de maquinaria para la metalurgia,,,,,,,,3,,,,,,,1,,,,,,,0,4
2824,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción,,,1,,,,2,1,,,2,,,1,1,,,,2,,,0,10
2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",,1,3,,3,,1,3,,5,,,,,,,,,,,,0,16
2826,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",,,,1,,,1,3,1,4,,,,,,1,,,,,,0,11
2829,Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,,2,2,,5,,6,10,,6,3,,,,,,1,,,,1,0,36
2910,Fabricación de vehículos automotores y sus motores,,,,,,,2,3,,,,,,,,,,,,,,0,5
2920,"Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semirremolques",,2,,,2,,,3,,2,2,,,,,,1,1,,,,0,13
2930,"Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",,3,4,1,5,1,4,13,4,29,4,,,,1,2,,3,1,1,2,0,78
3011,Construcción de barcos y de estructuras flotantes,,,,,,,1,,,,,,,,,,,,,,,0,1
3012,Construcción de embarcaciones de recreo y deporte,,,,1,,,,,,1,,,,,,,,,,,,0,2
3030,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa",,,,,,,,1,,1,,,,,,,,,,,,0,2
3091,Fabricación de motocicletas,,,1,,,,1,1,,4,,,,,,,,,,,,0,7
