"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin Georreferenciar,Total
1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",1,3,3,1,2,1,16,7,4,6,4,2,1,,,1,,2,2,,1,,57
1311,Preparación e hilatura de fibras textiles,,1,,,1,,3,6,,4,,,,,2,1,,1,,,,,19
1312,Tejeduría de productos textiles,,,6,4,3,2,8,8,6,19,5,1,,,,2,2,3,,,2,,71
1313,Acabado de productos textiles,3,15,40,23,10,11,20,48,10,127,22,5,,1,14,7,2,14,4,,10,,386
1391,Fabricación de tejidos de punto y ganchillo,,1,1,3,3,,4,8,1,4,2,,,,4,1,,,1,,,,33
1392,"Confección de artículos con materiales textiles, excepto prendas de vestir",1,7,15,4,8,4,12,17,11,19,16,3,,2,5,6,1,7,4,,7,,149
1393,Fabricación de tapetes y alfombras para pisos,,,1,,,1,,,,,2,,,,,,,1,,,,,5
1394,"Fabricación de cuerdas, cordeles, cables, bramantes y redes",,,2,,2,,,2,1,3,1,,,,,1,,,,,,,12
1399,Fabricación de otros artículos textiles n.c.p.,,6,11,6,8,3,13,16,10,27,17,1,,1,1,2,,2,2,,3,1,130
1410,"Confección de prendas de vestir, excepto prendas de piel",14,99,288,89,105,68,314,288,139,"1,017",269,59,1,38,107,57,27,83,36,13,66,13,3190
1420,Fabricación de artículos de piel,,,2,3,2,,2,1,,,,1,,,,,,,,,,,11
1430,Fabricación de artículos de punto y ganchillo,,,1,,2,,2,1,,3,,,,,,,,,,,,,9
1511,Curtido y recurtido de cueros; recurtido y teñido de pieles,,,,1,,,1,1,,1,,,,,,,,,,,,,4
1512,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería",1,7,6,3,8,1,15,6,,17,8,3,,2,5,3,2,6,1,1,1,,96
1513,"Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",,3,8,5,2,2,7,5,,12,6,,,1,2,2,2,2,,1,5,,65
1521,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela",2,6,9,5,3,5,9,13,5,44,7,8,,4,5,,3,7,6,,10,,151
1522,"Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",,2,4,5,2,6,6,2,1,35,2,1,,1,2,,,1,3,,2,,75
1523,Fabricación de partes del calzado,1,1,,,,,2,6,,7,,,,,1,,,,,1,,,19
1610,"Aserrado, acepillado e impregnación de la madera",1,8,4,2,2,3,10,2,1,40,2,,1,,1,,3,2,2,2,3,,89
1620,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles",,,,,,,1,1,1,2,2,,,1,1,,,,,1,1,,11
1630,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción",6,23,18,11,5,14,15,20,8,42,6,7,,3,11,7,7,5,7,,8,,223
1640,Fabricación de recipientes de madera,,,1,,,,1,5,2,,,,,,1,,2,,,,,,12
1690,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",,4,2,4,3,2,5,4,3,10,5,3,,1,4,1,4,,,1,2,,58
1701,Fabricación de pulpas (pastas) celulósicas; papel y cartón,,,,,,,1,,,1,,,,,,,,,,,1,,3
1702,"Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",,,3,2,1,,3,5,1,7,4,,,,,,,,,,,,26
1709,Fabricación de otros artículos de papel y cartón,,2,5,2,3,2,5,4,5,17,7,1,,,1,,2,1,,,1,,58
1811,Actividades de impresión,1,17,46,14,14,10,40,44,30,284,54,8,,3,17,4,4,6,3,1,8,3,611
1812,Actividades de servicios relacionados con la impresión,2,4,6,,3,3,18,23,3,75,17,5,,2,2,3,2,3,1,,1,,173
1820,Producción de copias a partir de grabaciones originales,1,,,,,,2,,,,1,,,,,,,,,,,,4
1910,Fabricación de productos de hornos de coque,,,,,,,,,,1,,,,,,,,,,,,,1
1921,Fabricación de productos de la refinación del petróleo,,,2,,3,,2,2,4,3,1,1,,,,,1,1,,,,,20
2011,Fabricación de sustancias y productos químicos básicos,,1,6,,1,,11,7,5,6,2,,,3,1,1,,,,,,,44
2012,Fabricación de abonos y compuestos inorgánicos nitrogenados,,,1,,1,,5,,,1,4,1,,,,2,,,1,,,,16
2013,Fabricación de plásticos en formas primarias,,4,2,1,2,1,5,7,,4,1,2,,2,2,1,1,,1,,1,,37
2014,Fabricación de caucho sintético en formas primarias,,,,,,,,2,,1,1,,,,,,,,,,1,,5
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,1,1,,,,,2,1,,1,2,,,1,2,1,,1,,2,,,15
2022,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",,2,3,2,2,,6,6,3,11,10,,,,2,3,1,2,1,1,,,55
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",2,11,25,13,6,7,35,25,9,24,25,7,,3,5,4,3,12,2,4,9,,231
2029,Fabricación de otros productos químicos n.c.p.,,1,5,2,1,2,6,8,2,9,6,,,,,3,1,1,,,1,,48
2030,Fabricación de fibras sintéticas y artificiales,,2,1,,,,1,1,,,,,,,,1,,,,,1,,7
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",1,2,12,2,2,4,28,11,4,12,13,,,,,1,,1,,3,3,,99
2212,Reencauche de llantas usadas,,,,,,,,2,,5,2,,,,,1,,,,,1,,11
2219,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,,4,,,,,3,7,1,9,1,,,,1,,,1,1,1,,,29
2221,Fabricación de formas básicas de plástico,1,16,3,,2,3,7,28,3,17,9,1,,,6,4,3,1,,,1,1,106
2229,Fabricación de artículos de plástico n.c.p.,,21,15,8,10,6,18,59,14,43,17,4,,1,5,2,12,2,4,3,,,244
2310,Fabricación de vidrio y productos de vidrio,2,1,6,3,3,,4,5,,12,4,2,,1,3,1,3,2,,,1,2,55
2391,Fabricación de productos refractarios,,,,,,,1,1,,,,,,,,,,,,,,,2
2392,Fabricación de materiales de arcilla para la construcción,6,1,3,,,,6,1,,3,1,,,,,,1,2,,,,,24
2393,Fabricación de otros productos de cerámica y porcelana,,,,1,,,,,1,3,1,1,,,,1,1,,,,,,9
2394,"Fabricación de cemento, cal y yeso",,,1,,,2,7,,,2,1,,,,,,,,,,,,13
2395,"Fabricación de artículos de hormigón, cemento y yeso",2,2,4,,2,,4,3,1,9,4,,,3,2,1,3,2,1,1,2,,46
2396,"Corte, tallado y acabado de la piedra",,11,3,1,1,1,1,3,,9,3,,,,4,2,,,,,,,39
2399,Fabricación de otros productos minerales no metálicos n.c.p.,,1,,1,,,1,3,,,1,,,,2,,1,1,,1,,,12
2410,Industrias básicas de hierro y de acero,,2,2,1,2,,2,9,1,20,1,1,,,4,1,,2,1,,1,,50
2421,Industrias básicas de metales preciosos,,,1,,,,6,1,,6,2,,,,,,,,,,,,16
2429,Industrias básicas de otros metales no ferrosos,,,,,,2,1,1,,3,,,,,1,,,,,,,,8
2431,Fundición de hierro y de acero,1,,,,2,,2,2,1,1,,,,1,1,,2,,1,,,,14
2432,Fundición de metales no ferrosos,,1,,,,,1,2,,3,,1,,,1,,1,,,,,,10
2511,Fabricación de productos metálicos para uso estructural,8,24,39,18,21,12,21,59,15,95,28,13,1,6,28,8,11,15,8,2,15,1,448
2512,"Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o el transporte de mercancías",,,,,,1,,1,1,6,1,,,,,1,1,,1,,1,,14
2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",,,1,1,,,,1,2,,,,,,,,,,,,,,5
2591,"Forja, prensado, estampado y laminado de metal; pulvimetalurgia",,1,1,,1,1,2,5,2,10,1,1,,1,,,,1,,,1,,28
2592,Tratamiento y revestimiento de metales; mecanizado,,2,1,1,2,1,2,23,1,24,2,,,,2,2,2,,,,1,,66
2593,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",,,2,1,2,,,2,1,6,1,1,,,,1,,,,,1,,18
2599,Fabricación de otros productos elaborados de metal n.c.p.,1,16,19,4,12,7,20,90,3,65,24,1,,,9,1,,6,,2,3,2,285
2610,Fabricación de componentes y tableros electrónicos,,,4,,,,,4,2,4,5,,,,,,,2,,,,,21
2620,Fabricación de computadoras y de equipo periférico,,,,,,,,,,,2,,,,,,,,,,1,,3
2630,Fabricación de equipos de comunicación,,,1,,,,,,,,,,,,,,,,,,,,1
2640,Fabricación de aparatos electrónicos de consumo,,,1,,,,1,,,,,,,,,,,1,,,,,3
