"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción CIIU,EL POBLADO,LA CANDELARIA,LAURELES,BELEN,GUAYABAL,LA AMERICA,BUENOS AIRES,ARANJUEZ,ROBLEDO,CASTILLA,SAN JAVIER,DOCE DE OCTUBRE,SAN ANTONIO DE PRADO,VILLA HERMOSA,MANRIQUE,SAN CRISTOBAL,SANTA CRUZ,POPULAR,ALTAVISTA,SANTA ELENA,PALMITAS,Sin Georreferenciar,Total
2740,Fabricación de equipos eléctricos de iluminación,6,5,1,2,7,2,2,,1,,,,,,,,,,,,,1,27
2750,Fabricación de aparatos de uso doméstico,3,8,,8,2,1,,1,1,1,,,,1,,,,,,,,,26
2790,Fabricación de otros tipos de equipo eléctrico n.c.p.,4,6,4,,4,1,,2,1,1,,,,,1,,,,1,,,,25
2811,"Fabricación de motores, turbinas, y partes para motores de combustión interna",,2,,,,,,,,,,,,,,,,,,,,,2
2812,Fabricación de equipos de potencia hidráulica y neumática,,2,,,4,,1,,1,1,1,,,,,,,,,,,,10
2813,"Fabricación de otras bombas, compresores, grifos y válvulas",1,2,,1,,,,,,1,1,,,,,,,,,,,,6
2814,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",,,,,2,,,,,2,,,,,,,,1,,,,,5
2815,"Fabricación de hornos, hogares y quemadores industriales",,4,2,1,3,1,,,,,2,,,,,,,,1,1,,,15
2816,Fabricación de equipo de elevación y manipulación,1,6,,4,5,,,,,2,2,,,,,,,,,,,,20
2817,Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico),,1,,,1,,,,,,,1,,,,1,,,,,,,4
2818,Fabricación de herramientas manuales con motor,,,,,1,,,,,,,,,,,1,,,,,,,2
2819,Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,7,17,3,2,16,2,3,1,2,6,1,2,1,2,,1,,,,1,,,67
2821,Fabricación de maquinaria agropecuaria y forestal,3,2,1,,,,,,,,,,1,,,,,1,,1,,,9
2822,Fabricación de máquinas formadoras de metal y de máquinas herramienta,1,2,,,4,1,,,,1,,,,,,1,,,,,,,10
2823,Fabricación de maquinaria para la metalurgia,,,,,3,,,,,,,,,,,,,,,,,,3
2824,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción,4,2,2,1,3,,,,,,,,,,,,2,1,,,,,15
2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",1,3,,3,3,,1,2,,2,,,,,,,,,,,,,15
2826,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",1,5,,,,1,,,1,,,,,,,,,,,,,,8
2829,Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,5,5,5,1,12,,1,1,,2,,,1,1,,1,,,1,,,,36
2910,Fabricación de vehículos automotores y sus motores,1,,,,2,,,,,,,,,,,,,,,,,,3
2920,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,,,,,2,,,1,2,1,,,2,,1,,,,1,,,1,11
2930,"Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",5,28,3,4,11,3,,2,1,6,2,1,1,2,1,,2,1,,,,1,74
3011,Construcción de barcos y de estructuras flotantes,1,,,,,,,,1,,,,,,,,,,,,,,2
3012,Construcción de embarcaciones de recreo y deporte,,1,,,,,1,,,,,,,,,,,,,,,,2
3030,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa",,,,,,1,,1,,,,,,,,,,,,,,,2
3091,Fabricación de motocicletas,1,3,,1,1,,,,,,,,,,,,,,,,,,6
3092,Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad,2,2,2,2,1,1,,,,1,,,,1,,,,,,,1,,13
3099,Fabricación de otros tipos de equipo de transporte n.c.p.,1,,,1,1,,1,,,,,,,,,,,,,,,,4
3110,Fabricación de muebles,36,130,36,53,53,25,20,51,15,13,13,13,15,14,16,13,4,9,7,,,3,539
3120,Fabricación de colchones y somieres,2,9,31,3,4,2,1,8,3,6,2,4,1,1,2,1,1,,,,,,81
