"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción CIIU,EL POBLADO,LA CANDELARIA,LAURELES,BELEN,GUAYABAL,LA AMERICA,BUENOS AIRES,ARANJUEZ,ROBLEDO,CASTILLA,SAN JAVIER,DOCE DE OCTUBRE,SAN ANTONIO DE PRADO,VILLA HERMOSA,MANRIQUE,SAN CRISTOBAL,SANTA CRUZ,POPULAR,ALTAVISTA,SANTA ELENA,PALMITAS,Sin Georreferenciar,Total
8610,"Actividades de hospitales y clínicas, con internación",44,5,11,8,,3,4,,1,,1,,,,,,,,1,2,,1,81
8621,"Actividades de la práctica médica, sin internación",617,110,119,76,20,25,29,7,12,8,7,1,9,6,2,6,,6,16,9,,13,1098
8622,Actividades de la práctica odontológica,139,89,65,42,4,23,12,8,11,7,4,2,1,4,9,3,3,2,2,,,3,433
8691,Actividades de apoyo diagnóstico,71,51,17,21,3,6,3,3,3,1,1,,1,1,2,4,1,1,,3,,1,194
8692,Actividades de apoyo terapéutico,129,52,90,58,11,26,14,4,7,9,9,9,6,8,4,3,4,3,8,2,,1,457
8699,Otras actividades de atención de la salud humana,89,48,63,41,18,19,13,12,16,12,5,2,6,3,4,7,,1,7,3,1,3,373
8710,Actividades de atención residencial medicalizada de tipo general,,2,7,3,,3,2,,,,,,,,,1,,,1,,,,19
8720,"Actividades de atención residencial, para el cuidado de pacientes con retardo mental, enfermedad mental y consumo de sustancias psicoactivas",1,1,1,,,,,,,,,,,,,,,,,,,,3
8730,Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas,6,11,44,12,,13,5,,1,,1,,1,3,,2,1,,1,,1,1,103
8790,Otras actividades de atención en instituciones con alojamiento,1,1,3,,,,,,,,,,1,1,,,,,,,,,7
8810,Actividades de asistencia social sin alojamiento para personas mayores y discapacitadas,1,3,2,,,,1,,,,,1,,,,,,,,1,,,9
8891,Actividades de guarderías para niños y niñas,,,1,,,,2,1,,,,,,1,,,,,1,,,,6
8899,Otras actividades de asistencia social sin alojamiento n.c.p.,2,2,3,1,,1,,,1,1,1,,,,,1,,,,,,1,14
9001,Creación literaria,1,,,4,,,,2,,,,,1,,,,,,,,,,8
9002,Creación musical,26,7,9,15,3,5,8,4,6,2,2,3,1,3,2,3,2,2,4,1,,1,109
9003,Creación teatral,3,2,2,,,,1,,1,,,,,,1,,,,,1,,,11
9004,Creación audiovisual,86,22,51,40,8,36,16,7,17,5,7,1,8,,6,5,,2,4,2,,5,328
9005,Artes plásticas y visuales,17,4,3,8,3,2,,1,4,,5,2,2,,,4,,1,2,,,,58
9006,Actividades teatrales,3,4,2,2,,2,,2,1,1,,1,,1,,,,,1,,,,20
9007,Actividades de espectáculos musicales en vivo,99,23,31,42,20,33,23,12,14,10,10,3,8,12,4,11,2,2,5,5,,5,374
9008,Otras actividades de espectáculos en vivo n.c.p.,13,7,6,13,3,4,3,3,2,,1,4,2,1,1,2,,,,1,,1,67
9101,Actividades de bibliotecas y archivos,,1,2,1,,1,1,,,,,,,,,,,,,,,,6
9102,"Actividades y funcionamiento de museos, conservación de edificios y sitios históricos",4,,1,,,,,,,,,,,,,,,,,,,,5
9103,"Actividades de jardines botánicos, zoológicos y reservas naturales",5,,1,,,,,,,,,,,1,,,,,,1,,,8
9200,Actividades de juegos de azar y apuestas,30,87,18,45,16,13,22,55,16,30,45,28,22,23,35,20,29,26,10,4,,5,579
9311,Gestión de instalaciones deportivas,21,7,9,25,10,14,11,10,14,5,7,7,4,10,11,1,3,5,1,2,1,,178
9312,Actividades de clubes deportivos,6,3,4,2,3,5,1,2,,2,1,2,1,,1,,1,,,1,,1,36
9319,Otras actividades deportivas,29,4,22,17,4,14,9,3,6,,3,2,6,1,2,3,,,2,1,1,,129
9321,Actividades de parques de atracciones y parques temáticos,12,,4,1,1,,,,1,,2,,1,,1,2,,,1,1,,1,28
9329,Otras actividades recreativas y de esparcimiento n.c.p.,24,14,15,22,6,11,8,11,7,6,7,8,4,8,15,5,9,10,2,7,,3,202
9411,Actividades de asociaciones empresariales y de empleadores,7,1,4,1,,1,1,,,,,,,,,,,,,,,,15
9412,Actividades de asociaciones profesionales,1,2,1,1,,,2,,,,,,,,,,,,,,,,7
9420,Actividades de sindicatos de empleados,,1,,,,,,,,,,,,,,,,,,,,,1
9491,Actividades de asociaciones religiosas,,,,,,,,,,,,,,1,,,,1,,,,,2
9499,Actividades de otras asociaciones n.c.p.,7,2,1,4,2,,1,,2,,,,,,,,,,,1,,,20
9511,Mantenimiento y reparación de computadores y de equipo periférico,29,48,26,26,7,7,8,9,12,11,10,7,8,7,6,6,3,3,2,2,,2,239
9512,Mantenimiento y reparación de equipos de comunicación,18,93,10,13,5,5,6,12,4,7,6,13,7,3,4,1,7,6,,1,1,1,223
9521,Mantenimiento y reparación de aparatos electrónicos de consumo,3,18,12,7,2,3,2,3,1,2,2,,,2,2,1,2,,,,,3,65
9522,Mantenimiento y reparación de aparatos y equipos domésticos y de jardinería,5,23,5,9,8,7,,7,9,9,5,5,8,3,2,4,6,5,3,,,,123
9523,Reparación de calzado y artículos de cuero,2,3,2,1,1,3,,,,1,,,,1,1,,1,,,,,,16
9524,Reparación de muebles y accesorios para el hogar,3,8,8,6,6,6,6,3,2,2,,3,4,3,1,2,3,1,1,,,,68
9529,Mantenimiento y reparación de otros efectos personales y enseres domésticos,10,46,14,16,5,8,4,5,2,3,1,5,2,3,2,2,3,1,,,,2,134
9601,"Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel",12,10,18,14,13,4,1,2,,2,1,5,2,3,2,5,1,,,2,,,97
9602,Peluquería y otros tratamientos de belleza,329,335,407,321,102,191,171,162,127,117,112,95,95,78,120,69,46,58,41,14,5,13,3008
9603,Pompas fúnebres y actividades relacionadas,1,26,3,5,2,,,5,2,2,1,2,2,2,,2,1,,,,,,56
9609,Otras actividades de servicios personales n.c.p.,79,54,64,48,17,38,28,17,19,6,14,12,14,11,9,11,1,6,7,7,,5,467
9700,Actividades de los hogares individuales como empleadores de personal doméstico,,1,4,2,,,,1,3,,,,,1,,2,,,,2,,1,17
9810,Actividades no diferenciadas de los hogares individuales como productores de bienes para uso propio,,1,1,,,,,,,,,,,,,,,,,,,,2
9820,Actividades no diferenciadas de los hogares individuales como productores de servicios para uso propio,6,3,,2,1,1,,,,,,,,,,,,,,,,,13
Total,,26641," 23,278 "," 11,584 "," 10,881 "," 6,376 "," 5,320 "," 4,803 "," 4,777 "," 4,258 "," 3,767 "," 3,183 "," 2,838 "," 2,719 "," 2,637 "," 2,626 "," 2,272 "," 1,854 "," 1,799 "," 1,586 "," 1,319 ", 96 , 955 ," 125,569 "
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
(*) Comerciantes Renovados y Matriculados en el año 2025,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Cámara de Comercio de Medellín para Antioquia, Base del Registro Mercantil (69 Municipios)",,,,,,,,,,,,,,,,,,,,,,,,
Tabulados: Economía e Inteligencia Competitiva,,,,,,,,,,,,,,,,,,,,,,,,
